node_id,left_child,right_child,feature,threshold,impurity,n_node_samples,weighted_n_node_samples,value,class
176,177,192,61,-0.0013132556341588497,0.4999915879353496,13409,13409.0,"[0.5020508613617719, 0.49794913863822804]",0
177,178,185,13,-0.0017072001355700195,0.49525668953569624,1961,1961.0,"[0.45130035696073434, 0.5486996430392657]",1
178,179,182,42,0.002157827722840011,0.4806925878606434,229,229.0,"[0.5982532751091703, 0.4017467248908297]",0
179,180,181,51,-0.0012199670891277492,0.4999741214222866,139,139.0,"[0.5035971223021583, 0.49640287769784175]",0
180,-1,-1,-2,-2.0,0.4234404536862004,46,46.0,"[0.6956521739130435, 0.30434782608695654]",0
181,-1,-1,-2,-2.0,0.4832928662273095,93,93.0,"[0.40860215053763443, 0.5913978494623656]",1
182,183,184,58,-0.0038055164040997624,0.38049382716049385,90,90.0,"[0.7444444444444445, 0.25555555555555554]",0
183,-1,-1,-2,-2.0,0.375,8,8.0,"[0.25, 0.75]",1
184,-1,-1,-2,-2.0,0.32867340868530637,82,82.0,"[0.7926829268292683, 0.2073170731707317]",0
185,186,189,52,0.0010252113570459187,0.4907167887182715,1732,1732.0,"[0.43187066974595845, 0.5681293302540416]",1
186,187,188,38,-0.0005623960169032216,0.49378168853325644,1632,1632.0,"[0.44424019607843135, 0.5557598039215687]",1
187,-1,-1,-2,-2.0,0.4280618311533888,58,58.0,"[0.6896551724137931, 0.3103448275862069]",0
188,-1,-1,-2,-2.0,0.49160112953667356,1574,1574.0,"[0.43519695044472684, 0.5648030495552732]",1
189,190,191,30,0.00030668789986521006,0.35419999999999996,100,100.0,"[0.23, 0.77]",1
190,-1,-1,-2,-2.0,0.2906574394463668,85,85.0,"[0.17647058823529413, 0.8235294117647058]",1
191,-1,-1,-2,-2.0,0.49777777777777776,15,15.0,"[0.5333333333333333, 0.4666666666666667]",0
192,193,200,18,0.0014678571023978293,0.49976912283708885,11448,11448.0,"[0.5107442348008385, 0.4892557651991614]",0
193,194,197,26,-0.0007854201248846948,0.499952218567122,10741,10741.0,"[0.5048878130527884, 0.4951121869472116]",0
194,195,196,4,-0.0004286813345970586,0.49504913975102527,1015,1015.0,"[0.45024630541871924, 0.5497536945812808]",1
195,-1,-1,-2,-2.0,0.499289790661852,796,796.0,"[0.48115577889447236, 0.5188442211055276]",1
196,-1,-1,-2,-2.0,0.44744688392652365,219,219.0,"[0.3378995433789954, 0.6621004566210046]",1
197,198,199,10,0.0006676449265796691,0.4997756965700836,9726,9726.0,"[0.5105901706765371, 0.4894098293234629]",0
198,-1,-1,-2,-2.0,0.4998946210038936,9368,9368.0,"[0.5072587532023911, 0.4927412467976089]",0
199,-1,-1,-2,-2.0,0.48088386754470835,358,358.0,"[0.5977653631284916, 0.4022346368715084]",0
200,201,204,57,0.0001036545836541336,0.4801129941242255,707,707.0,"[0.5997171145685997, 0.4002828854314003]",0
201,202,203,10,0.0020380800124257803,0.49999193561394173,249,249.0,"[0.5020080321285141, 0.4979919678714859]",0
202,-1,-1,-2,-2.0,0.4969871353808303,219,219.0,"[0.4611872146118721, 0.5388127853881278]",1
203,-1,-1,-2,-2.0,0.31999999999999995,30,30.0,"[0.8, 0.2]",0
204,205,206,22,0.0006047714268788695,0.4532808298850136,458,458.0,"[0.6528384279475983, 0.3471615720524017]",0
205,-1,-1,-2,-2.0,0.372109922050469,174,174.0,"[0.7528735632183908, 0.2471264367816092]",0
206,-1,-1,-2,-2.0,0.48323745288633213,284,284.0,"[0.5915492957746479, 0.4084507042253521]",0
207,208,223,49,0.00021547753567574546,0.49803582177544914,83875,83875.0,"[0.46866169895678095, 0.5313383010432191]",1
208,209,216,29,0.00015742106188554317,0.4998950268621911,8972,8972.0,"[0.4927552385198395, 0.5072447614801605]",1
209,210,213,29,0.00015607050590915605,0.49838542535477337,4593,4593.0,"[0.4715871979098628, 0.5284128020901372]",1
210,211,212,57,0.0008369782590307295,0.49867148474864487,4559,4559.0,"[0.4742268041237113, 0.5257731958762887]",1
211,-1,-1,-2,-2.0,0.49840368094358134,4513,4513.0,"[0.4717482827387547, 0.5282517172612453]",1
212,-1,-1,-2,-2.0,0.4054820415879017,46,46.0,"[0.717391304347826, 0.2826086956521739]",0
213,214,215,15,1.5589958820783067e-05,0.2076124567474048,34,34.0,"[0.11764705882352941, 0.8823529411764706]",1
214,-1,-1,-2,-2.0,0.3911111111111111,15,15.0,"[0.26666666666666666, 0.7333333333333333]",1
215,-1,-1,-2,-2.0,0.0,19,19.0,"[0.0, 1.0]",1
216,217,220,2,-0.000300663014058955,0.4995525312556697,4379,4379.0,"[0.5149577529116237, 0.48504224708837634]",0
217,218,219,29,0.0010064722155220807,0.4990571313675429,1635,1635.0,"[0.4782874617737003, 0.5217125382262997]",1
218,-1,-1,-2,-2.0,0.4959515278694573,1178,1178.0,"[0.45500848896434637, 0.5449915110356537]",1
219,-1,-1,-2,-2.0,0.49706725912022565,457,457.0,"[0.5382932166301969, 0.4617067833698031]",0
220,221,222,30,0.0007349981460720301,0.4972904040833326,2744,2744.0,"[0.5368075801749271, 0.46319241982507287]",0
221,-1,-1,-2,-2.0,0.4946739491006906,2306,2306.0,"[0.5516045099739809, 0.4483954900260191]",0
222,-1,-1,-2,-2.0,0.49662225558266093,438,438.0,"[0.4589041095890411, 0.541095890410959]",1
223,224,231,37,-0.006204318720847368,0.4976573995921053,74903,74903.0,"[0.46577573661936106, 0.534224263380639]",1
224,225,228,42,0.009230098221451044,0.345679012345679,117,117.0,"[0.2222222222222222, 0.7777777777777778]",1
225,226,227,33,0.024204482324421406,0.269312922748309,106,106.0,"[0.16037735849056603, 0.839622641509434]",1
226,-1,-1,-2,-2.0,0.2348949005561316,103,103.0,"[0.13592233009708737, 0.8640776699029126]",1
227,-1,-1,-2,-2.0,0.0,3,3.0,"[1.0, 0.0]",0
228,229,230,11,-0.010728254215791821,0.2975206611570248,11,11.0,"[0.8181818181818182, 0.18181818181818182]",0
229,-1,-1,-2,-2.0,0.0,1,1.0,"[0.0, 1.0]",1
230,-1,-1,-2,-2.0,0.18000000000000005,10,10.0,"[0.9, 0.1]",0
231,232,235,15,-0.002461194759234786,0.4977092712020984,74786,74786.0,"[0.46615676730938943, 0.5338432326906105]",1
232,233,234,58,0.005332495318725705,0.4328987354180963,202,202.0,"[0.31683168316831684, 0.6831683168316832]",1
233,-1,-1,-2,-2.0,0.4167013744273219,196,196.0,"[0.29591836734693877, 0.7040816326530612]",1
234,-1,-1,-2,-2.0,0.0,6,6.0,"[1.0, 0.0]",0
235,236,237,13,-0.0030002458952367306,0.4977636923392763,74584,74584.0,"[0.4665611927491151, 0.5334388072508849]",1
236,-1,-1,-2,-2.0,0.4953173777315296,682,682.0,"[0.5483870967741935, 0.45161290322580644]",0
237,-1,-1,-2,-2.0,0.4976615499596584,73902,73902.0,"[0.4658060674947904, 0.5341939325052096]",1
238,239,300,21,0.005173625657334924,0.4926786270075014,35345,35345.0,"[0.5605036072994766, 0.43949639270052343]",0
239,240,291,46,0.016933530569076538,0.49628013082713407,24567,24567.0,"[0.5431269589286442, 0.4568730410713559]",0
240,241,270,4,0.0038456697948276997,0.49616156692241464,24527,24527.0,"[0.5438088637012273, 0.4561911362987728]",0
241,242,255,37,-0.005986452102661133,0.4964979765362425,24053,24053.0,"[0.541845092088305, 0.458154907911695]",0
242,243,250,57,-0.011558589059859514,0.465702947845805,168,168.0,"[0.36904761904761907, 0.6309523809523809]",1
243,244,247,42,0.00493185268715024,0.42603550295857984,26,26.0,"[0.6923076923076923, 0.3076923076923077]",0
244,245,246,1,0.011973010376095772,0.2076124567474048,17,17.0,"[0.8823529411764706, 0.11764705882352941]",0
245,-1,-1,-2,-2.0,0.0,15,15.0,"[1.0, 0.0]",0
246,-1,-1,-2,-2.0,0.0,2,2.0,"[0.0, 1.0]",1
247,248,249,23,-0.0017786853713914752,0.4444444444444444,9,9.0,"[0.3333333333333333, 0.6666666666666666]",1
248,-1,-1,-2,-2.0,0.0,5,5.0,"[0.0, 1.0]",1
249,-1,-1,-2,-2.0,0.375,4,4.0,"[0.75, 0.25]",0
250,251,252,32,-0.007175472332164645,0.4276929180718112,142,142.0,"[0.30985915492957744, 0.6901408450704225]",1
251,-1,-1,-2,-2.0,0.0,4,4.0,"[1.0, 0.0]",0
252,253,254,34,-0.004101240541785955,0.41167821886158373,138,138.0,"[0.2898550724637681, 0.7101449275362319]",1
